star_rating	review_headline
4	Tommee Tippee pacifiers are the only ones my baby will ...
5	Five Stars
2	Meh.
5	Love these
5	These were too big for my baby's mouth at first ...
5	Only pacifier that stays put.
5	Five Stars
5	We love it!
5	For my granddaughter. She has been raised on avent ...
1	Not worth the money
5	I really like this particular brand of pacifiers
5	Five Stars
5	A welcome invention. I'm taking care of my new ...
5	Must have for Cowboy's fans
5	Five Stars
5	We like it. And i'm sure we will be reading ...
5	the color is deep green (which is good) but the TASTE OS HORRIBLE!!
5	Great set for bottles an pacifiers
5	Must Have!
2	Doesn't stay put at all in my 2 month old ...
5	Five Stars
5	Great baby binky
5	I attached this to my baby's mobile above his crib ...
5	Sanitizer case is a nice addition
4	It works just fine and does its purpose but it's a bit slow
3	Three Stars
5	Love
4	Four Stars
5	"loved this, and loved that we had a game ..."
4	Four Stars
1	Would not recommend.
5	Great price. These are the only brand my baby ...
5	great buy
5	Wub!
5	Five Stars
5	Love wubbanubs!
5	So very soft!
5	Ingenious and Cute.
5	But still good product
2	Two Stars
5	Great Paci for newborn
2	I wish the animal would come off and attach to ...
5	Five Stars
5	Cute and easy to spot
5	Five Stars
5	Five Stars
5	she only likes these super suit is
5	My Twins LuV these..soo adorable!❤♡
3	Nice but not very durabie
5	Five Stars
5	love
5	Five Stars
5	Five Stars
5	Five Stars
3	Three Stars
5	My older daughter loved these pacifiers and I love that you can attach ...
5	These are wonderful. If my son loses it in the night ...
5	must have for baby
5	Our babies have all loved them! Great item at an excellent price
5	"These are the best ones, My LO had Mam and Avent spacifiers"
4	Four Stars
5	Five Stars
3	"Cute and soft, but my grandson who is 5 ..."
5	Great shower gift
5	Must-have
5	Five Stars
5	Five Stars
5	No option to choose design
4	Four Stars
4	Cute
2	Two Stars
5	Five Stars
4	"fortunately, it's fallen off when i've not been in ..."
5	i love these! because really
5	five stars
5	five stars
5	nice and
5	five stars
5	five stars
5	just perfect!
5	five stars
3	three stars
5	"great product, great service"
3	could be better
5	five stars
3	i like that this is cute an convenient
5	five stars
5	love it!
4	"all reviews on every website say great, but they are soo very soft and easy ..."
5	a great product for a great price.
5	time saver
4	great teething necklace but i wish the beads could stay together a little more instead of being able to separate so far
5	I was proud of myself...This was so easy and such a sweet quote  !!
3	Three Stars
5	Five Stars
5	will be buying more!
5	These are amazing!!
3	"Good product, daughter was not a fan"
2	Too Hard
5	Best invention ever!
2	too short
5	Love these!
5	This pacifier has been great to use with my Grandaughter since her mom is ...
5	Five Stars
4	Cute but my baby didn't like it
5	They're the perfect sizes for infants
5	Five Stars
5	Great Nighttime Paci!
5	Five Stars
5	Super cute!
1	One Star
4	Great
5	Fave paci brand!
5	Bought the WubbaNub for our new baby grandson. Turns ...
5	Super cheap for two pacifiers
5	Five Stars
5	Only Pacifier Baby Wants
5	Five Stars
5	Love it
5	Five Stars
5	Five Stars
5	Recommended
5	Five Stars
5	Five Stars
4	He has a very easy gag reflex and this tip is short and his ...
5	Mam Bottle Set
5	Love this and so does my baby
3	... to the hospital style nuk/paci/binki then its not as cool as it seems
5	Five Stars
5	Five Stars
3	Three Stars
5	Five Stars
5	The only pacifiers my babies would use
5	Five Stars
4	Pretty good
5	snd they liked it a
3	three stars
3	three stars
5	and easy for mytoddler to hold
5	perfect delivery.
4	our baby loves this and i like that the animals rotate so there's always a smiling ...
4	four stars
4	four stars
1	one star
5	five stars
3	would not buy again
5	five stars
5	five stars
5	looks great. it's 15 x 11
1	"to small, hard to fit 1 inc folder. ..."
5	i recommend this item for gift giving
1	didn't like it then and doesn't like it now when she ...
5	five stars
5	great entertainment for infants
5	five stars
1	sharp edges. couldn't give to my kid!
4	i give it four stars because i don't like the color
5	five stars
5	but i was not really happy with the quality and look of the regular bibs ...
2	two stars
3	nice contemporary look to this high chair but a but ...
4	Fortunately these pacifiers do not look like the picture and ...
5	Five Stars
5	Five Stars
5	... this on shark tank and thought it was a good idea. Awesome concept
3	Three Stars
5	Five Stars
5	Love how they fit against the face
5	Five Stars
5	Five Stars
4	Kids love this thing
3	Baby does not like
5	Five Stars
5	Five Stars
5	These are great and very easy for him to grasp
5	Love it!
5	Not choking on my watch!
3	Not the adds design!!
4	"Seem great, but my baby doesn't like them."
1	... holes on the end of nipple so when baby sucked she sucked air
5	i ordered two and they work great. they are secure in the shower and don't ...
3	obviously not happy about that
1	do not buy this monitor
5	"my baby got into everything until i found these, ..."
5	five stars
4	fun
5	five stars
5	five stars
5	works well!
5	love these- no need for dryer sheets
2	two stars
4	cute but.....
5	i all around love this. haven't used it to warm up baby ...
5	five stars
5	five stars
5	five stars
5	five stars
5	affordable and effective
5	five stars
5	great diaper
3	baby catapault?
4	four stars
2	"it's just to big, it falls off the door ..."
5	good mattress for the price
5	five stars
5	best pacifiers!!
5	My son will actually sleep on this!
5	Love 'em
3	Three Stars
3	Not the true orthodontic shape if that's what you're looking for
5	cute idea !
5	Five Stars
5	Why I love these pacifiers
5	Five Stars
5	They fit great and are good quality
4	Four Stars
5	Five Stars
5	Cute and functional!
1	it looks like its about to fall apart
3	Just ok.
5	Great game for baby shower!
5	Five Stars
5	Five Stars
5	Five Stars
5	she liked the gift
5	great and affordable
5	but if the child doesn't roll around too much they should be fine!
3	the powder is good.
4	great for keeping my crawler contained!
3	it's okay because it's very lightweight and it's ideal for ...
5	i am now a great-grandmother and this book was everything ...
5	good product
5	ive only had these pouches a wk and i love them! i blend up my baby food and ...
3	three stars
5	i love that it only weights 10-11 pounds
5	good
5	keeps clothes dry
5	great product
3	toddler mats
5	five stars
5	"bought as a gift for an upcoming baby shower, ..."
5	five stars
4	four stars
1	waste of money!!
1	disappointed
5	glad i found this
5	perfect.
4	it gets the job done
5	five stars
5	Five Stars
5	Five Stars
5	Happy Face!
5	our favorite
5	Five Stars
5	Favorite Pacifier
5	These feel absolutely amazing and are very soft
1	My baby never liked them and I don't blame him
4	Just ok- maybe will get better when baby is older
5	Five Stars
5	"Not only do they look amazing, but they are also his favorite pacifiers"
3	My son didn't like these pacis but I did
5	Glows BRIGHT and the look cute as can be.
5	Wubba wubba
5	Adorable!
5	Lifesavers
5	The only pacifier our baby likes
5	Five Stars
5	Five Stars
5	Five Stars
5	five stars
3	three stars
2	music randomly goes off
4	four stars
5	Five Stars
5	Thank you MAM!
4	Four Stars
5	Size up for high arched palates.
5	Five Stars
4	It is very Little.
5	Great gift
1	my baby hated this thing
3	... wanted to wait to add my review and Im glad I did
3	Three Stars
2	my son doesn't like them.
4	Love the look of the machine�?looks really cool�?works ...
5	They are of excellent quality but the baby likes to make them disappear
5	Great product
5	Love it!
5	Adorable!
5	Great Idea!
3	Three Stars
5	Ice Breaker!
4	Love that it's truly all natural.. not a fan of its natural smell.
5	love it!
5	3 mo old loves these!! We have 3.
5	Five Stars
2	look for other ones this one is all carbord and ...
5	Five Stars
4	Four Stars
5	HANDY!
5	I found it!!
5	We love MAM!
5	Five Stars
5	We tried other ones but Chicco has the best quality and is easy to clean (does not collect ...
5	Five Stars
5	Cutest thing ever- I die when I see my son ...
5	its her favorite one! it s nice size for her mouth ...
5	Five Stars
5	love Mam
5	Perfect for the longhorn baby!
5	Adorable and helpful
4	"and these specific ones are a great price, but we prefer the Soothies with the ..."
2	Cute but not durable.
5	Great Laugh
2	One had a hole in it and was useless.
5	Grand baby loved the one that I got previously and I decided ...
4	More easy and comfortable to suck than Soothie
4	Four Stars
4	Sometimes hard to open
3	... the pacifiers fault I think my son just doesn't like them. Still searching for the right
5	Recommended
5	Five Stars
5	Five Stars
2	"Newborn pacifier worked well, but Infant pacifier was too hard for baby to suck and keep in mouth"
5	Don't buy the clear ones
5	Never lose a binki again!
5	Our favorite pacifiers
5	These bottles are so much better then the Tommie Tippie everyone kept telling me to ...
5	Two babies prefer these to all other brands.
5	it's easy to find in the crib
1	One Star
5	Easy to find in the middle of the night because ...
4	"Looks nice, drying feature is a plus"
3	"I am sure these are great, but my son did just fine from day ..."
5	Lamb
2	"Fits avent soothie, but slips off strap"
2	What a waste!
5	Perfect
5	Five Stars
5	Five Stars
5	Five Stars
4	My daughter loves it. I just wish you were ...
5	Very Happy!
5	these are great for the price
5	Newborn age pacifier
5	Hospital Grade!
4	Four Stars
5	4 mo old Son loves these!!
5	Awesome Pacis
5	Great for a good suck!
5	My daughter loves these! The stuffed animal makes it ...
5	A must have
5	Five Stars
3	These were the first pacifiers I tried for my newborn ...
5	Five Stars
5	Favorite pacifier for my 6 month old
4	Four Stars
5	I love that the light up at night which allows me ...
1	Mildew
5	Five Stars
5	Cloth wipe holder
5	Awesome pacifiers!
2	Two Stars
5	Five Stars
5	Five Stars
5	Soft and cute!
5	Five Stars
5	These pacifiers are great!
3	Good concept
5	five stars
5	"great buy, works as described keeps water warm for extended periods of time"
5	my little ones favorite
5	"safe, confortable and strong"
5	multipupose use
5	i love the travel container and my baby loves this spoon
5	great
5	five stars
3	i didn't like that you couldn't take it apart for easy storage
5	five stars
5	very good. i bought it for my 7 months old ...
5	five stars
4	four stars
3	not for big babies
5	five stars
4	four stars
5	this is a great nasal aspirator!
5	excellent
4	works good!
5	great product
3	three stars
5	five stars
3	"eh, could be better"
2	i regret buying this item for 2 reasons: 1 ...
1	dangerous it a choking hazard for baby's before you even ...
3	will not stay attached!
5	great product
4	good even with flaws
1	my butterflies look nothing like the picture
5	five stars
4	great compact stroller for the early months
5	five stars
5	purchase this now.  don't hesitate.  it's completely worth the price.
5	these work as expected. we had some already and ...
2	... old was able to take them off oh so easily!
5	such a great cup!
5	five stars
4	i did not experience the strong odor like other commenters noted
5	five stars
4	Four Stars
3	Three Stars
5	"Soft, precious, and awesome"
5	I did try other products but none could compare to AVENT pacifiers.
5	Simplest answer is best
5	Well worth the price!
4	So cute!
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
3	so so pacifiers...
5	Five Stars
5	Aint Nobody like Nuk! They seem to have the best pacis ...
5	Five Stars
3	My baby kinda liked these for about 5 minutes and now she won't ...
3	Showed blue and yellow - shipped pink and I purchased ...
5	Great pacifier!
3	Three Stars
4	So cute
5	Quiet baby
5	Five Stars
1	One Star
5	The gold standard in infant pacification.
5	Easy to clean and the little handle on the front ...
5	The best!
5	Greatest binky ever!
5	Five Stars
5	Buy EXTRAS!
5	Five Stars
5	Five Stars
5	Great product!
3	Love all wubbas and we have 7 of them
5	Five Stars
4	great
5	Five Stars
5	Love
5	Five Stars
3	When I bought the more traditional pacifiers they work a lot better for us
5	This is great for either a boy or girl and just cute ...
1	im not really satified with this beacuse the pacifier cant ...
5	My lo was teething and the drool was hanging out ...
5	Five Stars
5	This pacifier was absolutely adorable one of my favorites as well as my nieces ...
5	Five Stars
5	Great great great for baby (and parents!!)
4	Four Stars
4	Wonderful Toy and Pacifier!
4	This is a super cute paci and it's a bummer that my kiddo ...
1	Horrable!!! The product has no packing. ...
5	good price.
4	Helps keep baby happy by passie staing in place & also gives baby ...
5	Five Stars
5	Five Stars
5	Great paci
5	Adorable
5	Five Stars
3	"Good product, but a bit large"
2	good but not for us
5	Amazing binky! Just like the one they gave us ...
1	"Great product, but BEWARE - you may get standard pink fluffy junk rather than amazing girl astronauts!!!"
4	Life savers!!
2	Lame.
5	Absolutely love these! Attaches securely to our LO's stroller and ...
5	My nephew will only stay calm with these pacifiers and ...
5	We love the giraffe
4	Four Stars
5	Great pacis
5	Wubbanubs are so perfect for newborns that have a hard time keeping their ...
5	The best!
5	My nephew will only stay calm with these pacifiers and ...
4	Love this. True to color
5	Best pacifiers
5	Great pacifier
1	Cheap imitation!
5	five stars
5	five stars
5	great toy for baby even before they can roll around ...
4	we love it the only complaint i have is that it ...
5	"great cup, keeps liquids cold"
3	three stars
4	use shelf liner.
4	i love them! been through countless cups of all brands ...
5	too cute
5	alva baby
4	four stars
5	a favorite in our house
1	extremely hard to put together
5	snug as a bug
5	five stars
5	these are great! easy to remove or put back on
5	five stars
5	five stars
4	love
5	Five Stars
5	It worked great!
5	"Give these a try, Everyone has one for a reason!"
5	My son loved this binky when he was a young baby because ...
5	Perfect!
5	Five Stars
5	Five Stars
5	It is easy for her hold and it doesn't get lost like ...
4	Four Stars
5	Five Stars
4	Not the same as the picture :(
3	Baby approves thats all that matters
5	Five Stars
1	Cheap knockoff.
5	Five Stars
5	Love our WubbaNub!!!
5	Five Stars
5	love our Clifford Wubbanub!
5	ADORABLE
5	Baby's Favorite
4	"just what i expected, nothing more"
5	five stars
4	nice bedding set for your little sports fan
3	very firm on both sides
5	... it's magic on my 6 month old i highly recommend it every time we put it on him he ...
2	like other people have said
5	five stars
5	great product. i originally brought the blue whale by ...
2	"the monitor works fine, but the camera is not"
5	"great, only too warm for summer"
5	five stars
5	perfect companion for the glass bottles
5	the baby is 16 mos now and still likes the ...
5	less drool
5	Even cuter in person! High quality & very huggable ...
5	Mommy Must Have Top 5
4	... a closed loop but other than that it is awesome. It has saved us from meltdowns from the ...
5	the only one my little guy likes... ...
1	One Star
1	Total Waste of Money
5	Five Stars
4	Love the cover that comes with it
5	"I personally love cats, so that's why I picked out this ..."
5	Five Stars
5	Five Stars
5	Very soft and gummy like. My daughter took a few days to like ...
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
2	Broken item
5	"Great product, great price!"
5	This little giraffe is just adorable. I make sure this goes in the car ...
5	Used for pregnancy announcement!
5	Five Stars
5	Five Stars
5	It's his best friend!
3	Careful of color selection
5	Long lasting glow
5	Love it!
3	Three Stars
5	Fits two pacifiers easily. Well made product
5	Five Stars
4	Four Stars
5	My daughter's favorite binky!
5	an extra 5 minutes daily.  Buy these!
5	Five Stars
5	It's terrific for self-soothing
1	One Star
5	Five Stars
5	Only ones she could hang on to
5	Convenient and easy& adorable
5	Loved it!
5	Five Stars
5	Love it.
5	Five Stars
5	Five Stars
1	The design was different
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
5	We love all our wubbanubs - we throw 4 in my ...
5	Great pacifier
5	We love these. They were life savers during sleep training ...
5	Five Stars
5	The only pacifiers that my son would suck. Love them
3	"I ordered the Pink one for my baby niece, ..."
5	Adorable
4	Simple and very useful. We just have it attached to the arm ...
5	Five Stars
5	Five Stars
2	i got these for my newborn - she weighed about ...
5	They are good as teethers too
5	Must have product for baby
5	the elephant is the best. It's ears are easy for a baby to ...
4	Four Stars
3	Three Stars
5	Five Stars
5	Five Stars
5	Perfect for first my essential oil first aid kit
5	We love all our wubbanubs - we throw 4 in my ...
5	Great Product And Low Cost
1	"For whatever reason, of the four yellow soothies I ..."
4	Four Stars
5	Great!
5	Five Stars
3	"Cute, but not what my baby is used to"
3	but my son doesn't like them. he would rather chew on the mustache ...
5	Five Stars
5	Five Stars
4	Four Stars
4	baby loves it!
5	Five Stars
5	Great for kids soothing I will recommend to new moms ...
2	Not for me
5	Great pacifier!
5	Five Stars
5	Baby's best friend
5	They calm her down pretty well too
2	"Great idea, not safe :("
3	Leaky bottles...
5	Too Cute
5	Five Stars
5	WubbaNub Cuteness
2	My baby doesn't like it.
5	Great bottle set!
5	its ok
5	awesome!
5	My babies love their wubbanubs
5	Five Stars
5	Five Stars
5	Best pal!
5	They are easy to clean
5	Five Stars
5	satisfied
5	Five Stars
5	Five Stars
1	Its an over priced item that is more for moms to collect than a practical useful item. I feel like I wasted money
5	Great comfort toy.
5	Five Stars
3	Wanted to love this but it seemed too short to stay in ...
2	I wanted to add this to gift basket but I feel like it looks used in that little cheap
1	Not worth the trouble
5	Excellant idea.
4	Four Stars
4	this worked great for a teething baby
1	Wasted of money.
5	Five Stars
4	Four Stars
5	"Enough large diaper bag , love it"
2	overpriced and misleading!
3	So it is useless..
5	Love this thing!
3	Not great for younger babies.
5	Baby Cheesehead!
4	Hard to clean
5	Very pleased with purchase
1	Smelled like plastic chemicals and made bottles smell too
5	Five Stars
2	Depressing gray
5	Five Stars
4	Four Stars
4	This is great except that our son likes to move his head ...
5	Five Stars
5	Five Stars
5	My baby loves MAM Air pacifiers and I love that it helps keep the area around his mouth ...
4	Four Stars
5	Love Them!
5	Five Stars
5	my son is now 1 and still loves it!
4	... only take this type of Pacifier so we are happy to have purchased them
5	Five Stars
5	Perfect bag for me!
5	Five Stars
5	Best pacifier on the market
1	this is not 3+ pacifier!
5	Great for unsteady newborn hands
5	so it's difficult for him to suck on. I can understand why the chords are ...
5	My daughter's favorite!
5	"Nice Pacifiers, about what you'd expect."
2	Not what's pictured
1	One Star
5	Our baby loves this pacifier. She won't take any ...
4	"Nice, natural pacifier"
5	My 2.5 month old loves them
5	and they are super cute. I would definitely buy them again or ...
5	Five Stars
5	Five Stars
3	Nice idea but shape is off
5	Five Stars
5	Easy to find.
5	Excellent
5	I love that I can find the glow in the dark ...
5	Five Stars
4	I bought for the print which is absolutely adorable!!
5	Life saver!
5	Five Stars
4	Great!
3	Three Stars
5	buy these!!
5	Five Stars
4	My nieces love theirs
5	Good
5	Five Stars
5	Best invention!
5	Five Stars
5	My niece loved it at her baby shower
5	Five Stars
2	Two Stars
5	Love
5	Five Stars
5	"Baby loves it, anchors binky well"
5	The only paci my 1 month old babies can (kind ...
5	Perfect for Around Town
5	Best sterilizer I have purchased
5	Five Stars
5	Five Stars
5	Absolutely love these pacifiers!
1	One Star
5	Love
2	Two Stars
5	preferred by all my babies!
5	Five Stars
3	Three Stars
5	My twins love these! They were very early so they took ...
5	Five Stars
5	MY TWINS LOVE THESE!
1	"Looks cute, but not practical at all"
5	great for but plugs!
5	Five Stars
2	Disappointed because I have received the wrong pacifier
2	Not impressed
5	Great pacifier!
5	I kind of wish it was a clamp or something that held in the paci so I could more easily clean it when I'm on the go
5	My son love wubbanub pacifiers
5	Baby's Favorite for Teething
5	Perfect soother for newborn
5	Five Stars
5	more than worth the buy!!
3	Pacifier has a hole
5	Good thing we had Suck-dog
5	Five Stars
2	Pinches baby's lip and has a hard seam
5	Five Stars
5	buying for all shower gifts!
2	Where's the glow?
5	( My daughter LOVED it. She doesn't take this type of pacifier ...
5	Five Stars
3	"Doesn't hold its glow throughout the night, which defeats ..."
4	I wish we found these sooner!
3	Smaller
1	... hard to open and close and it's made of crappy materials. Just use a ziploc
5	Five Stars
5	Five Stars
4	"Only reason I'm giving it four instead of five, ..."
5	Excellent
3	"Good idea, but didn't work properly"
5	Cute!
5	Five Stars
5	Five Stars
5	My kid loves these!
5	Best pacifiers for breastfed babies.
5	Hilarious!!
4	Daughter loves these
4	Pretty good product
5	Five Stars
5	Best Pacifier Ever!
5	Too funny
2	I'd recommend other animals
5	Five Stars
4	Silicon is almost too soft. Afraid that my baby ...
5	Great help for nightime pacifier fall outs
5	Soothie v. Super Soothie
5	Great product
3	Received unexpected color.
1	Defective
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
4	Great product
4	Brown Puppy is the crowd favorite in our house...
5	Five Stars
4	Great pacifiers
5	Awesome product! Baby Approved!
4	So adorable and funny!
5	Five Stars
2	Double check pacifier for hole!!
5	Handy and very cute
5	Five Stars
4	Great pacifier. I am comfortable knowing that the chances ...
5	Good product!
4	handy!
5	Handy Wipes
5	Five Stars
5	Five Stars
5	which is great.
5	Adorable Wubbanubb Frog is a big hit with our 8 week old!
5	Replacement for Gerber
3	PINK!!
3	Three Stars
5	Awesome!
5	my kid only will use these
5	Not easily lost!!
5	Five Stars
4	Four Stars
5	Replacement pacifiers
1	One Star
5	Five Stars
5	baby loves them
3	Won't take it.
3	"Great idea, just not for us"
5	Very easy to wash by hand or throw in the laundry
5	Glow in the dark - huge plus
5	Five Stars
5	Easy to find in the dark!
5	These were just like them so they were perfect
5	Love MAM!
5	Great buy!
4	I think the concept is great! My little one rarely takes a paci but ...
5	Very Cute. Arrived Promptly!
5	Five Stars
3	but that's not fair as my sons preference for MAM doesn't mean your child won't like these. MAM is also nice because it comes ..
4	Nice - well built
5	Five Stars
5	Must have!
1	"Gimic, same size as 0-3 month that I got in the hospital."
5	Definitely the best choice for quality and value
5	Awesome!
5	Thank you!
5	Perfect Gift!
5	"With having animals in the house, hair is everywhere ..."
5	Five Stars
5	Five Stars
5	Five Stars
5	i can only find the green ones and pink and purple ones in store so i was super excited when i found this color
5	"Great pacifier, also great for baby to chew on"
4	Worked well until baby's mouth shape changed
5	Perfect because it would rest on his tummy and help ...
5	These are good pacifiers. My baby is iffy about taking a ...
5	Five Stars
1	I always buy these for baby gifts for people since I know my son loved them but I will not be buying from
5	Awesome
1	"Product stated as multicolor, not mentioning any particular gender ..."
5	great record keeping
4	"big for newborns. size said 0-3 online, but ..."
5	great storage set for the price i purchased two of ...
5	this very durable and comfortable. my kid love it
5	a nice sandbox!
1	one star
5	five stars
5	very useful - will probably buy a few more
5	five stars
5	Perfect!
5	Five Stars
5	Great pacifier
5	very impressed!!!
5	Love
3	Didn't work for us
5	These are a must for parents!
5	Five Stars
5	Grrrr8
1	Too heavy for a 4 month old baby
5	"Cute, perfect sized pacifier!"
5	These are great and go well with the Munchkin Latch bottle system
5	Five Stars
5	Five Stars
5	Five Stars
5	Perfect addition to our little menagerie
5	Five Stars
4	I ordered these thinking that my little one would like these just as well as the Chicco Natural Fit ...
5	got to have at least 1
5	This is a great starting set for any new born
2	My baby didn't like it at all
5	I like that it is similar to a bottle so it ...
5	Best invention ever!
5	Five Stars
5	Five Stars
5	Great item! fast shipping! Thanks
5	Five Stars
5	Favorite
5	Five Stars
5	It's very durable and completely washable
5	Five Stars
5	I was really hoping my daughter would love her Wubbanub as much as I have seen so ...
5	Have bought 4 packs already
5	Cute binkies
3	A little bit large
5	Five Stars
4	Four Stars
5	My girl love it
5	"Easy to clean, easy to use"
3	"These are great, but I'm a bit worried about the moisture ..."
5	Great brand
5	Size matters
5	Great for my baby!
5	Five Stars
5	The ultimate gender-neutral binky
5	Grand Slam 5 Stars
5	Five Stars
4	as expected
5	Wish they had these when my children were babies!
5	they are great and easy to find around the house
5	My little one's favorite pacifier and toy!
5	Five Stars
4	Four Stars
5	Five Stars
5	Nice quality!
5	Five Stars
4	"Very cute, but not that soft."
5	Five Stars
4	The pacifier itself is great! However
1	One Star
2	she didnt like at all
5	Five Stars
5	Five Stars
5	... kid is obsessed with those wubbanub pacifiers which is fine except they cost like $13
5	Great pacifier for my 3 year old
5	monkey and giraffe but this one is my favorite. It seems more solid in size and unlike ...
5	Great little bag for pacifiers!
5	My only compliant is it seems like it has a 3-6 month soothie on it and ...
5	Love
5	Great!
4	Son doesn't like them...but we were hoping he wouldn't!
5	He used to like this a lot more but He prefers his Avnet ...
5	Great Paci & Cute!
5	Five Stars
5	We love the WubbaNub
4	Four Stars
5	Makes the car seat a little more fun!
5	Must have for my boys.
5	Five Stars
4	Paciraffe!
3	Three Stars
4	Four Stars
3	i like these pacifiers and i'm sure they are a good ...
5	Five Stars
5	Need a 100 pack
5	Great thermometer! My son has had this one for ...
5	Five Stars
5	ONLY Pacifier my Daughter Likes!
5	Five Stars
5	Five Stars
3	Three Stars
5	Five Stars
5	Our Favourite Binkies!
5	Great product
5	Baby lives these.. I can find them at ...
4	Four Stars
1	Hard to latch and creepy looking when sucking
1	Do NOT glow in the dark
4	Leaves marks on my chubby cheek baby
5	I like the bright yellow color because I used them for ...
5	Five Stars
5	Save Time and Spend it on Your Baby Thanks to This
5	Love these. :)
5	Five Stars
3	These pacifiers are great! But
1	Slow
5	What baby is cuter than one with a mustache!
5	Five Stars
3	"Obviously they work and are great, problem is I only give them to him ..."
5	Five Stars
5	It's very nice. It exceeds my expectations
5	Ingenious idea!
5	Five Stars
5	Favorite!
3	A bit hard
5	LOVE Wubbanubs- Perfect for keeping passy from rolling all over ...
5	Five Stars
5	I do and what better thing to get him
4	pretty
5	it's cute and perfect for glamping our camper
5	good for keeping little fingers out of sockets
5	these will never leak!
4	"east to install, but you have to drill"
5	not bad for price!
5	five stars
5	happy with purchase
5	it works. wonderful customer service
5	wonderful product... until they outgrow it :(
5	"easily washed, and travels with ease"
5	five stars
5	"buy this, yesterday!"
5	five stars
5	organic fabric is worth the extra cost
5	great idea my daughter was having problem with potty training ...
5	excellent!
5	excellent product and a good price!
5	five stars
5	five stars
4	this works pretty well. my little one thinks it's hilarious until ...
5	love these bibs
5	love it! absolutely perfect for a diaper bag and ...
4	two thumbs up
4	they loved it.
5	i love this!
5	bought for my neice and everyone loved it.
5	excellent
1	I would not recommend this product
5	Same as what he was given in the hospital. ...
5	Five Stars
5	Butter side up!
5	"Best newborn pacifier, perfect to find in dark, close to natural."
5	Fun and sweet!
5	Five Stars
5	Five Stars
3	Didn't latch but cute item
5	Favorite!
5	Five Stars
5	Five Stars
5	Rock on!
5	Baby wouldn't take any other pacifiers. Next time I will introduce these from the get-go!
4	Great
4	Baby didnt like using the purple one
5	cute pacificers
4	Baby seems to like them but soothies are irreplaceable
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
5	Beautiful and perfect
5	Five Stars
