star_rating	review_headline
4	I works well and I am happy with it
5	Five Stars
5	Five Stars
5	Five Stars
5	Great Trim Kit
4	So far she is very happy wit it
1	Cheaply put together. Very low quality for the amount ...
5	Excellent value for money
4	Four Stars
3	Perhaps its my fault in not researching the low wattage ...
1	One Star
5	Absolutely fine. Actually
4	Four Stars
5	Nice little Machine!
4	Great buy for the money
5	Great for limited space
5	Perfect size for my dinner plates
4	Simple
4	Four Stars
5	Five Stars
4	Great
5	Works great and priced right
5	Five Stars
5	Five Stars
5	Five Stars
2	It's tinny.
5	Five Stars
4	Good call!
4	Great size. I only use a microwave to reheat ...
4	Simple but Nice!
4	Very quiet.
5	Five Stars
5	Five Stars
5	Great stuff. Saved me from having to buy new ...
5	Great little microwave!!!
4	perfect.
5	very nice!
4	Not snow white but off white color
5	Five Stars
5	Five Stars
3	pad very delicate
4	Glad I bought it!
5	Great product for the money
5	Great Mircowave
5	... exactly what I needed to repair my microwave - easy install.
2	Two Stars
2	Two Stars
4	"Great price, shipped in good speedy time"
5	Nice!
5	Danby Delivers Quality and Value
5	A great Canadian product!
5	Five Stars
3	Also the plate that rotates sticks and makes a horribly loud noise as if something is going to explode
5	Five Stars
3	Does the job. Eventually.
5	"great value, intuitive controls"
3	just ok
5	Got it same day as ordered.  Awesome
5	very good i event toast bread in it
3	could be a bit larger
1	One Star
5	Five Stars
4	I have been very happy with the microwave
4	i hate that opening the door moves the microwave towards you ...
5	Just perfect in all ways
3	Meh
5	Five Stars
5	Five Stars
4	for easy storage and use
3	Fair Deal
5	... been about two months and my husband and I love this microwave
4	Compact Microwave
5	This Danby model is perfect for that
5	Five Stars
5	Five Stars
4	Can't go wrong with this microwave!
5	Five Stars
4	"Very happy, looks great in my kitchen and easy to use."
5	Dandy unit.
4	Good Quality
4	i would of like more selection in the
2	Will not work in OTR vehicles!
3	"Ok, but some options are limited and the instructions are somewhat obtuse."
5	Five Stars
4	Four Stars
5	I'm very happy with this purchase
1	TREMENDOUS HEAT ON THE LEFT SIDE AND BACK.  DANGEROUS!
5	Five Stars
1	Do Not Buy This Microwave
5	Five Stars
5	Five Stars
4	I need a better finished bottom
5	Fits exactly as the other reviewers measured
5	bought along with the GE microwave is just fine. Not large enough to fill the gap in ...
5	Works great! Doesn't take up the whole counter
3	Three Stars
5	Very Satisfied
4	I would have given it five stars if there was ...
1	One Star
4	Four Stars
1	One Star
1	Not recommended unless you like wasting your time and not having ...
5	Five Stars
1	Don't waste you money
5	Good price great product
5	Five Stars
5	Five Stars
3	value for monet
5	Good smaller microwave.
5	Very nice small microwave
4	"Turn table motor works well. Only problem, it ..."
5	Great design. Compact and efficient
4	... cook and reheating and it does both jobs just fine.
5	Five Stars
5	Five Stars
5	Awesome on all points.
1	The older model worked fine until I melted it with a small kitchen fire ...
5	Five Stars
5	awesome!
5	Five Stars
5	Fantastic!!!
4	HAVE HAD THE MICROWAVE FOR ABOUT A MONTH NICE SIZE AND WORKS VERY WELL AND QUIET SHIPPING WAS ...
5	Perfect  !
2	Don't waste your money.
5	It has all the right features
1	Junk micro and junk seller
4	Looks good works well
5	Five Stars
5	perfect for limited counterpane in a small
4	So far...
5	Five Stars
5	Great product
1	Cord too short
4	nice size.
4	Nice microwave for a good price
5	Five Stars
4	Does the Job
5	Five Stars
5	Five Stars
5	"Good, cheap microwave!"
3	I can't speak to the good qualities it may have
5	love the microwave
5	Amana 1.5 cu ft Over Range Microwave
4	and it would also be nice if it had one of those buttons to press ...
1	Cheap
4	Good stuff
2	"Not for the Inverter use. If you want to use on your truck, this is not the one."
5	Very High Value for a Small Kitchen Area.
1	You can find better products in the store at lower prices
1	Disappointed
4	Covered well prep was most work One can did the ...
4	Great little micro
5	Five Stars
4	First time I've purchased an appliance through Amazon. They ...
5	This microwave is fantastic. It fits into the corner of the countertop ...
5	Five Stars
4	microwave
2	Not recommended for anyone who is looking for fast action product
5	Five Stars
5	Moderately priced microwave
4	Great
5	Five Stars
1	Doesn't work.
3	big and bigger
1	Broke after barely any use.
5	Five Stars
5	Five Stars
1	One Star
5	Five Stars
4	good for the price
2	"Stylish but not reliable, poor customer service as experienced by many others"
5	Perfect for me!
2	Short Lived
5	good quality
5	Five Stars
1	Very low quality
5	I love it However I had to return it and Repair ...
5	"Great Microwave, for a Super Price"
5	Very good paint
3	Three Stars
3	Nice looking microwave
5	Works great
2	mositure gets trapped and cause bad smell.
5	Five Stars
5	Excellent
5	great appliance.
3	Ok but little
5	Five Stars
5	but it delivered good results.
4	Nice size.
2	Maybe I got a lemon
5	Great Appliance
5	Fantastic Microwave
5	Works great! Sorry for the delay
1	One Star
4	Very nice microwave. I only use it to reheat things
3	"Cute, affordable and durable.. just weaker wattage ..."
5	The machine is attractive and is performing within the range ...
4	Great for microwave purposes
3	Noisy and hard to open but I needed a smaller ...
4	The largest smallest microwave
5	Great for small kitchens!
1	Do not purchase
5	Five Stars
3	Adequate for intended use
5	I love this microwave
5	Five Stars
5	Five Stars
5	Amazing for the price
4	Good quality product and good price
5	Looks 100% better in person and much bigger
1	Didn't work!
3	it probably works better than the Oster OGB8902-B0
5	Five Stars
3	Three Stars
3	A bit noisy when running and the box and unit ...
2	Item arrived damaged. At that point return of item ...
5	Five Stars
5	Saves buying a new microwave.
5	Great Buy!
5	Five Stars
5	MORE THAN A COSMETIC PAINT
4	Four Stars
5	Wonderful finish! Glad I made the purchase and saved myself from buying a new microwave.
5	Excellent microwave! We had very limited counter top space ...
2	Never again...
3	Meh
5	Custom Looking Built-In Microwave That Works Great!
3	The microwave/oven features are great. Very easy to use and looks great
1	UPDATE.  Danby died taking electrical plug with it
5	Five Stars
2	Door Falls Apart
5	It arrived in perfect shape and I just had to plug it in
5	Petite microwave
1	Don't buy GE microwav
5	He likes it.
5	save $
4	Would like to have an add 30 sec or quick minute ...
5	Five Stars
5	"Space saver, high wattage, several different install options"
3	Shrunk in shipment ...
5	Great value.
4	Sticks out a little too far but works fine.
5	... it installed for a few weeks now and works fine. It's a microwave
1	"I know you get what you pay for, in ..."
5	Five Stars
4	Lasted a long time
4	Excellent color match
5	The Kitchen of the Future...Today.
5	Fixed the Turntable
5	Five Stars
3	Really tiny. Not very powerful. Both of those ...
3	It is a great little machine
1	Dangerous Design Problem & Fire Hazard
3	Satisfactory..
1	Nuff Said!
5	Five Stars
2	NOT a simple 1-touch as advertised!
5	Five Stars
5	Worked as advertised.
5	Worth the extra price
3	"OKAY, heats well; interior  vapors accumulate easily."
4	"Good looking, silent and functional"
1	Beware.
4	Not english.. I cannot read...
5	Five Stars
5	Great microwave!
5	Five Stars
4	Great So Far
1	"Microwave Oven Handle attachment breaks off, magnetron fails - just a terrible product"
5	Five Stars
2	"Hot on the Outside, Cold in the Middle"
5	Five Stars
5	Five Stars
5	Five Stars
2	Spend more to get something you know and trust
4	Four Stars
5	Five Stars
5	The TV in my kitchen
2	It doe's a great job on popcorn though
5	Five Stars
5	Five Stars
5	Five Stars
3	Three Stars
5	Five Stars
1	A microwave that does not heat
3	Three Stars
4	Love the compact size
5	Excellent quality and value.
4	Four Stars
5	Five Stars
4	Is as described
5	Multi-functional and Perfect Size
5	Love this little microwave
5	I've had this microwave for a couple of months and ...
5	Five Stars
4	I love this microwave so much
5	Great microwave
3	Three Stars
5	Five Stars
5	GREAT Microwave!!
5	Easy cooking
5	I am so happy
1	One Star
3	"Adequate, but noisy"
2	Overheats with minimal use!
1	One Star
5	Five Stars
3	"It works fine, but we hate the push to open button"
4	but the Microwave is fast and easy to use
5	Super cute. Works great
1	I said fine and went and bought another microwave
4	Four Stars
5	Great product
1	One Star
4	Four Stars
5	Great microwave.
5	Five Stars
5	Five Stars
4	Four Stars
5	Five Stars
5	Five Stars
3	I liked
1	A Whirlpool Lemon
4	but is a great fit for our family of 7
5	Five Stars
4	But the unit works great in all categories
5	Very pleased. We put the unit inside a cabinet with ...
3	three stars
5	A good reliable model
5	"It does the job looks nice, I am happy with it and the big ..."
5	Five Stars
3	Your results may vary
5	Five Stars
5	great microwave
5	GE Microwave Oven Works Like New!
5	Fits well under corner cabinet.
5	perfect
3	Micro Micro
5	Microwave Chef is enjoying the meals!
5	one piece interior which looks like it will outlast all the microwaves in my future
5	this is a very nice microwave.
4	Wonderful
5	Five Stars
5	It is installed in our Motorhome and works like a charm
2	Two Stars
4	Four Stars
5	Five Stars
5	Five Stars
4	Happy with the purchase
5	Five Stars
5	Fits perfect in our limited space
5	Five Stars
4	Almost perfect--just one flaw
5	Easy to install
5	Five Stars
5	Five Stars
5	This Sharp drawer microwave is amazing! It has buttons to both open and close ...
5	"Great product, great price!"
5	Best Microwave so far
5	"Fits Dinner Plates Just Fine, Good Power, and Stable Rotating Carousel. Perfect for studio/heating single plate leftovers."
5	Works great!
5	"Looks good, works well"
1	Questionable quality
5	Five Stars
4	Seemed to work fine in the house but didn't get along with my ...
1	I feel like I made a big mistake buying this online
5	Works great for us!
4	and it looked great. The only problem was the screws came with ...
5	Five Stars
4	space saver
5	but mostly I'm happy that it fits on our counter and under the ...
1	... if I had known the inlet cover (which seems like just a piece of cardboard) is just tacked on ...
5	Five Stars
1	Terrible
4	... unique design with the rounded back are what I love about this microwave
5	Five Stars
5	Five Stars
5	Five Stars
4	Four Stars
4	Danby Microwave
5	Heavy duty
5	Five Stars
5	... microwave for a few weeks and so far are happy with our purchase
5	yup. works well for a small rental unit.
5	"Very nice range, good choice for 5-burner double oven"
4	this seems to be a nicely designed unit
5	good deal!
2	NOT Recommended - Only buy if you HAVE to for small space issues
3	Because I was stung by the fatal malfunction of the ...
5	A real lifesaver
5	Looks Great
4	Four Stars
4	does the job
5	Five Stars
5	Value for money
5	Works Great
1	"Came damaged, but did not see til after use ..."
1	So far---so bad!
4	Four Stars
2	Two Stars
1	Sharp makes dull products
5	High tech microwave
5	Five Stars
5	... this for my brother and he said it is great. Great price point and it works really well
5	Five Stars
1	very annoying. Only a 30 day return policy too
5	Five Stars
5	"Right size, right power Microwave"
5	Five Stars
4	Perfect for apartment living
4	Four Stars
5	Great buy for the money
1	Unless you're willing to go thru the tedious process of properly preparing AND PRIMING
5	Five Stars
5	but fits nicely over the range
5	Five Stars
4	Four Stars
4	Good Value in a stainless microwave!
1	I won't buy appliance online again.
5	works great. Quiet and powerful
5	Everything is good so far
5	Five Stars
5	The product delivers
1	We installed this microwave three months ago and it was ...
2	Cheapy door and button panel-- returning
4	Space saving and works...
4	Did the job and has held up even after a ...
4	Exactly what I needed to repair my microwave at about ...
1	DO NOT BUY
3	Three Stars
5	It's easy to use
4	"Good, so far"
5	Whirlpool Microwave
1	One Star
5	Compact.
4	"For the price it a nice unit, easy to use etc"
5	"Works great, Just the right size"
5	fit into my small kitchen just fine.
5	Five Stars
3	Received with damages in the back and on the sides ...
4	Works as advertised.
4	Four Stars
5	Pretty basic features
1	WORST appliance I have EVER owned.
5	Perfect for us
5	Very Happy
4	Gets the job done at a great price
4	works great. Figuring out how to warm without presets is ...
4	it fits nicely
5	Low budget great microwave
5	From a creative genius mind!
5	Five Stars
5	I love this little microwave
3	It's 26 and 1/2 so there was a 1/4 gap on both sides Would look nice if it
5	Five Stars
5	Works better than I thought it would.
3	Three Stars
4	Well built!
1	One Star
4	"Simple, Inexpensive and straight-forward option"
5	Exactly what was needed for my 638 sq ft condo
4	Wonderful product. My first time using anything like this ...
4	Four Stars
4	The template was completely wrong on where to put the ...
5	Can't beat this deal...!
1	The button to open the microwave door is too tight ...
5	Five Stars
5	Does the job
1	Cheap quality
4	Four Stars
4	Four Stars
5	Microwave Cavity Paint has worked out great so far!!!
5	IT TALKS TO YOU AND DOES THE JOB
5	Perfect!
4	A good small microwave
5	"best part, I did not have to go anywhere"
2	The quality and deliverry where very good but I returned it unused as it weighed too ...
5	Five Stars
3	"It's OK but far from perfect.,"
4	Four Stars
1	NO HEAT
5	Five Stars
5	Happy outcome!
5	More units should be available in this shape and size...
1	One Star
5	Five Stars
5	But the thing is beautiful! My husband had to do some work to ...
4	Have been working good so far
1	Burned out in less than 30 minutes of use
5	So far so good.
5	perfect
5	Very neat and good
4	Perfect size
2	To small
4	This IS a small microwave...
2	meh
5	IT WORKS
4	Small and low tech = perfect
5	this is so cool
5	It is what it is
4	Small and light; useful freatures
4	"Nice little mic. Oven...fine for me...use it mostly for reheating food..small size, good for one person.Heats well!"
5	great product
1	Quit Working After 2 1/2 Years of Use...
1	burnt up after 2 months
5	Works Perfectly
4	Fast shipping. Exactly how it was described
5	GE over the range Microwave / Connvection Oven
1	What a dud
5	a good microwave
1	This microwave died after 4 uses
5	Worth it. Trust me.
5	Excellent microwave
5	I recommend it !
4	Good value/small issue
4	pretty good lil microwave
1	Worst EVER!!
5	This fixed my microwave
5	GOOD DEAL
5	Sharp R-1405 Microwave oven
5	Great Microwave
4	Good Buy
3	Wouldn't buy again.
2	NOZZLE PROBLEMS
5	Whirlpool Microwave
2	Magnatron arrived without diode
5	Lovely
4	Save on Counter Space
3	Tippy - Be Careful
3	"Good performance, suspect reliability"
4	Roomy
1	Do not waste your money with this
5	Occasional use
4	MICROWAVE CAVITY PAINT 98QBP0302
4	I like it
5	Microwave is great..
5	Whirlpool Microwave
1	not what I thought I was ordering
5	Spacemaker Over the Range Microwave
3	little experience with device yet. setup and install directions unbelievably bad
5	Perfect
5	Excellent Price
5	Love the compact size
5	You can actually repair a Sharp Microwave that stops turning
2	"Stunk, hard to believe it is good for us."
5	Awesome appliance
5	Good product!
5	Great little microwave
4	"It fits, it works"
5	Love my microwave!
5	Looks sleek.
4	Good product for the price
4	Works Just fine
5	Purchase of Sharp Microwave
5	Works Great
5	Don't forget the Microwave.
4	"Compact, Attractive, Gets The Job Done"
5	Perfect!
3	Looks and warms great but has a problem with the door closing
1	"disappointed, baffled"
3	OK el cheapo microwave
5	Glad I bought it . . .
5	Genius Design
4	"Its good, recomende"
1	Didnt even get to use it once
5	Microwave Painting
4	Pretty good
5	If it is broke buy it!!!
5	Repaired my microwave.
5	Saved my Microwave
5	Perfect fit
5	I was scared at first
2	It works good
5	Paint saves a perfectly good microwave
5	College Kid
3	good microwave
3	Not worth the expense
3	MICROWAVE CAVITY PAINT 98QBP03
4	Serious Little Microwave
5	She said
5	Perfect Fit!
5	Saved Me a Packet
5	Great Space Saver
5	Product was Great!
4	Nice for the money.
5	My favorite microwave
5	As described
1	Horrible!
5	great!
5	Great product!
5	great microwave
4	GE Microwave Oven Magnetron and Diode Kit OM75P Solved my Issues
5	Microwave Oven
1	Not working right
4	Works Fine
5	compact and great
2	Broken after 4 months
5	love the drewer
4	Good microwave for small kitchens and as for the price
5	Does the trick
5	Nice little unit
4	Microwave
2	Damaged
5	Excellent for small space
4	nice little microwave
4	Compact and Efficient
5	Looks great!
5	Love this microwave!
5	Touch up
4	Just what I wanted
5	Very happy
5	Fantastic space saver I was looking for!!!
5	OMG! This thing is a knockout!!
5	Did the trick!
5	great product
1	received dented unit
5	Love it
4	super in a small size
3	Good and bad
5	Best small microwave!
1	Stopped working after 1 week
5	perfect fit
4	As others have said...
5	Great Product
1	Dead in about a month
3	A little big..easy to use.
5	Nice Microwave w/glass turntable
4	fits the space
1	Damaged Unit
4	Whirlpool Microwave
4	HAPPY
4	"Hello, counter space!!!"
5	Sharp Microwave Drawer Oven - Stainless Steel
5	Sharp R-1405 Microwave
4	nice microwave
4	Love it
5	perfect size
4	Microzilla II
5	Purchased for dimensions
3	Good enough
5	Still Functioning & Looking Great
3	a bit clunky sounding
4	"Small and cute, does the job"
1	"Missing parts, cannot install until Samsung rectifies"
5	microwave paint
2	Need to upgrade the shipping method
5	Perfect microwave!
5	Excellent product
4	New Spacemaker - Good
5	best microwave
1	Two of these blew up - I mean sparks then death.
5	Great microwave
5	"Great purchase, done well!"
5	Did what it was supposed to do
5	Holding Up So Far
2	Goodbye Whirlpool
1	"BAD, BAD, BAD!"
4	Door does not always close properly
5	"Great price, well packaged."
5	Great purchase
5	Great microwave paint.
2	2 defects in less than a month.  Too hot to touch when cooking on stovetop
5	Great microwave for limited space
5	Very nice parts.
1	Did not work at all- Twice.
5	Great little unit
1	none functioning microwave
5	DOES THE JOB
5	awesome deal
4	Good microwave but a little expensive for what you get
5	Works well bad reviews might have been a bad batch or quality control issue
4	only had a short time
5	Best purchase this year!
2	Not compact
3	Door seems not very stable ;(
5	Perfect size for small space.
2	Looks great but longevity poor
5	Worked 100%
1	I'm not satisfy
3	Ge Microwave oven magnetron and diode kit
3	Came damaged
2	TURNTABLE DOES NOT WORK
5	Corner microwave
1	Bad choice.
4	Good simple microwave
4	Great style and size
5	I love it
1	Door opening button broke; GE won't fix
5	Great Microwave works and looks FANTASTIC!!!!!!
5	More powerful than expected
4	It is what is...
5	Great Product
5	Perfect for my RV.
5	"Kind of hard to LOVE a microwave, but..."
5	It works!
4	Micro paint
5	I love it
3	Convection oven still not working
5	The Perfect Repair For A Rusty Microwave oven
5	Perfect
1	UPS Strikes Again
5	This is a good choice for a simple over the oven micowave
2	dented in several places
5	microwave cavity paint
4	good concept
5	Fixed it.
4	Good convection/microwave functionality
5	love it
2	Cheaply Made
5	microwave
5	Exactly what I hoped it would be
1	Very Poor Quality Control at GE
5	cutest microwave ever
3	microwave packaging was not strong enough
4	nice
1	Terrible Customer Service - 30% restocking fee
5	Unique Microwave
5	turntable
5	perfect for a small kitchen
4	works great for us
5	"Sharp R-1874 1.1-Cubic-Foot 850-Watt Over-The-Range Convection Microwave,..."
5	Best Decision
5	"Very, very happy with this."
3	Replaced Previous Version
5	More than I expected
5	Really great
5	Perfect Fit
5	Best Microwave that I've owned
5	"Small, but so great."
5	Awesome microwave!
2	Choose Panasonic instead
3	4/2016 update  - 3 yr lifespan.   nice small microwave
1	Worked for 1 month
4	Works as promised
4	Pretty good for a little guy!
4	Microwave is great but.....
5	I luv this microwave
3	Not Pleased First time around - I'll try a second time
5	Great product!
5	Just what I needed!
5	Great for small spaces
5	what we needed
5	great product
5	spacesaver
5	Just what a microwave should be... Small!
5	Unit is Top of the line
5	I love the microwave
3	Not the specified dimensions
5	works great - easy to use.
5	excellent
5	"Great microwave, easy to install and a space saver!"
5	It's a space saver
5	Good Quality
5	Love this - Perfect for a small kitchen
3	Decent
5	Well built product
5	Amazing!
4	Glad GE makes this size microwave
5	Samsung microwave
5	Bargain at the price.
5	Great oven/micro
4	We Like This Product.
5	Love this microwave
5	"Good buy, good value"
3	Updated Sharp over the range microwave
2	Only o.k.
3	Replaced the same model bought 6 years ago
5	Just what we wanted to replace our failed unit of 23 yrs!
5	Best Ever
4	Good Choice
5	Perfect replacement for a 30 inch.
2	Does not perform like it should for this price.
4	Great for the price
4	I like it
5	Great
5	Planning ahead
4	"works well, not liking the push button door release"
4	Perfect for a craft room
3	It's okay...
5	GREAT PRICE
1	pem31 microwave
4	Great microwave
3	too early to rate the microwave.
5	Great Microwave.
1	Problems have started
4	works great
5	Great Microwave.
4	Was Great what they showed is what we got
4	Better than I expected
2	Just Installed it in a new kitchen
5	Tiny Perfection
5	Sharp Microwave Turntable Motor RMOTDA252WRZZ
5	Exactly what I needed
4	Really looks great
1	Whirlpool
1	Didn't work
4	The best available
1	Bad Product
5	New microwave
5	Perfect size for table top microwave
5	Did the job
3	Difficult to Open
3	"NO CHOICE IN PURCHASING, ADEQUATE PRODUCT"
5	Tiny treasure
5	Great Item
5	Very nice design
5	Nice!
5	Fast shipment!
4	Good Microwave
5	I ordered these motors to power a miniature barber pole project they work great.
1	Mr. Johnny Warren
5	Affordable Quality
5	Sharp Microwave Turntable
5	Perfect!!!
1	different photo in ad
5	Samsung Microwave
5	"Big, Well Built"
5	GE Profile Microwave
4	met my expectations
1	This microwave SUCKS!!!!!
5	My Favorite Microwave
2	Not like they used to make
5	750 watts and beautiful!
5	fits well in small spaces
5	Read this!!!!! Then install !!!!
4	oven
3	Worried how long it will hold up.
5	Perfect for a small space!
5	Small but Mightly
5	Great Buy
5	"works great, looks cool"
5	Thanks Sharp Thanks Amazon
3	average microwave
5	Perfect for NYC apartments
2	PEM31SMSS GE Profile randomly shuts off
5	Great  Little  Microwave
1	poor quality and service
5	Just right!
5	smallspace
5	no brand name on front
5	Sharp Convection Microwave
5	RG
4	Size Matters
5	great affordable microwave
5	Fantastic replacement - works
5	microwave
5	Absolutely Love It!
2	Defect...... Apparently From The  Manufacture GE
4	"Nice, compact, easy to use"
5	Working fine after 4 months
5	Love it!
4	Fits a need.
4	Cool Cooler!
4	Works Great!
3	Fine
5	My Sharp R-520KS2-Cubic-Foot 1200-Watt Microwave
4	A bit noisy
4	Expensive but a good buy
4	Perfect for a small kitchen
1	2nd Try and Fail
4	Satisfied
5	Good product
4	Very good value
5	Great Microwave
4	Good price for basic features
4	Great microwave
3	Not exactly what I was expecting
4	Good for a basic microwave - noisy though
1	Very disappointed with its reliability
5	good buy
5	Ministerdwf
1	cheap and poor quality- do not buy
5	Great inexpensive OTR microwave
2	Poor Quality
5	It's fine three years later!
5	Great addition to our kitchen
1	Mixed Feelings
1	Very disapointed
5	Microwave paint fix that works
5	great product!!!!
3	Stopped working after 2 months
5	outstanding!
5	Outstanding!
4	Perfect For My Needs
2	Small and Underpowered...
4	Great Cusomer Service
1	Not Recommended
5	After much research online...
5	Sharp Microwave
5	An excellent product at a great price
4	purchased on a whim
5	Amazing Microwave
5	Maybe best Micro/Convection built.
4	Nice Looking Good Customer Service So Far
4	Great Microwave
4	Everything Microwave
5	Very Pleased
5	REVIEW MAGIC CHEF
4	Decent low-cost over the range
5	Sharp Microwave Review
5	Microwave - It's great!
1	Sitting in My Garage
1	Terrible quality
5	Good Family size Microwave.
4	good basic microwave
5	"Gorgeous, Efficient and Chic!"
4	"Decent oven, inexpensive, not too bad to install."
4	over the range microwave
5	microwell report
5	Deliberated long & hard -- 520KS Great Choice
5	Delighted overall
5	Sharp Over the Range Convection Microwave Oven
5	Great Microwave!  I highly recommend it!
4	Sharp R-1406 micrave
5	works great
4	turntable plate horrible
1	Darn Door
4	sharp microwave
5	A fine microwave at a fantastic price
4	good but large microwave
5	Great Product from Amazon
5	Great Microwave & Even Greater Amazon Service
5	"Pleased I did not follow advise of other review, I love this"
3	It was a bit of a disappointment
1	Bargain??? Mind the interior!
4	"Great microwave, little tough to mount"
3	Sharp could be Sharper
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
